Sample_Name_unif	Sample_Name	species	total_reads	mapped_reads	mapping_efficiency	informative_reads	CpG_meth	avg_meth	CpG_measurements	coveredCpGs	conversionRate	k1_unmeth	k3_meth	totalMeasurements_k1	totalMeasurements_k3	total_reads_untrimmed	[CT]GG	CGG	TGG	[CT]GA	CGA	TGA	others	all_bases_Mio	As	Ts	Cs	Gs	Ns	perc_As	perc_Ts	perc_Cs	perc_Gs	perc_Ns	fragments_ref	fragments_uncovered	fragments_uncovered_perc	max_cont_sp	max_cont	cont	cont_rat	blast_count1	blast_species1	blast_count2	blast_species2	PDR_summ	N_sites	informative_reads_cphpg	CpG_meth_cphpg	avg_meth_cphpg	CpG_measurements_cphpg	coveredCpGs_cphpg	informative_reads_cphph	CpG_meth_cphph	avg_meth_cphph	CpG_measurements_cphph	coveredCpGs_cphph	mean_overlap	min_overlap	max_overlap	conversion_type	res_mapRate_nonMotifReads	min_overlap_perc	max_overlap_perc	PDR_mean	V1	Fortlaufende Nr	Patho-Nr	English	Tierart	scientific_name	sex	age	Entnahme	Tissue	Well_y	Well_x	DNA (ng/µl)	Volume (µl)	DNA prep date	comment	Box	RRBS-status	Experiment ID	pre-BC_CT	Enrichment cycles	Pool	Adapter	FlowCell	lane	renamed	Experiment_new lib prep	pre-BC CT_uc	Adapter_uc	unconverted	renamed_uc	Experiment_unconverted	enrichtment_uc	Flowcell_uc	lane_uc	abbreviation_sp	replicate
ABB_1_H	ABB_1_H	ABB	15909049	12791093	80.4	12534298	63.447638564	65.6817539168	36772462	3679371	98.894936178	0.009115	0.984411	768	348199	17103076	13617024	59.86	19.76	154830	0.42	0.49	19.48	872.256876	206677414	362972604	43699883	258340261	566714	23.69	41.61	5.01	29.62	0.06	1677300	558213	33.28	|NZ_CBRG010000178.1|	48280	1189028	0.0695293773121336	30	Canis lupus familiaris	13	Ailuropoda melanoleuca	244593	1649552	11263569	0.988229784167	1.2193801692	33308316	3659487	11753806	0.885882583797	1.06892570437	83522643	8629816	1724142.66666667	564382	2537341	converted	-0.0848528137423789	15.3390892084544	68.9612708259102	0.148278441661736	705	4053	AC/858/15	American black bear	Amerik. Schwarzbaer	Ursus	m	adult	15.10.2015	Heart	H	4	42,9	100	02.06.2016	NA	9	prepped	AK24	8.88	9	11	TruSeq LT Index 15	250	8	NA	NA	NA	NA	ABB_1_H_uc	NA	AK_uc_07	6	298	6	ABB	1
ABB_1_H	ABB_1_H_uc	ABB	20600918	15742708	76.42	15550425	98.4837536907	88.9651889856	50580830	3408264	5.36509352263	0.996161	0.995648	521	2298	21686241	19257108	88.57	0.23	147964	0.49	0.2	10.52	1105.998291	217221937	223091475	323098244	342473758	112877	19.64	20.17	29.21	30.97	0.01	1677300	703650	41.95	|NZ_CCMH01000026.1|	43461	1083022	0.0499446538700579	12	Canis lupus familiaris	9	Ursus maritimus	53186	1727731	15356002	99.6534486491	96.5236003435	49403497	3962283	15546740	99.449487778	93.9002453836	132075231	9441707	NA	NA	NA	unconverted	-9.23481456229631	NA	NA	0.0307837273279232	705	4053	AC/858/15	American black bear	Amerik. Schwarzbaer	Ursus	m	adult	15.10.2015	Heart	H	4	42,9	100	02.06.2016	NA	9	prepped	AK24	8.88	9	11	TruSeq LT Index 15	250	8	NA	NA	NA	NA	ABB_1_H_uc	NA	AK_uc_07	6	298	6	ABB	1
ABB_1_L	ABB_1_L	ABB	22435644	5818906	25.94	4924186	72.8573579075	69.0126615013	12915530	2508836	98.6103493564	0	0.981133	23	14099	23340314	5602863	18.34	5.66	450307	0.54	1.39	74.07	1190.356014	364058201	549008317	27486027	249751752	51717	30.58	46.12	2.31	20.98	0	1677300	801455	47.78	|NZ_CBRG010000178.1|	26477	902273	0.0386599146260022	23	Canis lupus familiaris	18	Ailuropoda melanoleuca	239460	957327	3996059	1.53069302144	1.40003488432	11025011	2299206	4389390	1.50190831403	1.40100359372	28811061	5581469	1362917.33333333	402803	2070705	converted	0.00707106781185904	16.0553738865354	82.5364830542929	0.250133966763708	797	4053	AC/858/15	American black bear	Amerik. Schwarzbaer	Ursus	m	adult	15.10.2015	Liver	H	1	77,0	100	28.06.2016	NA	10	prepped	AK27	9.35	11	8	TruSeq LT Index 2	260	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABB	1
ABB_2_L	ABB_2_L	ABB	10947376	4769269	43.57	4102758	67.906433025	41.7104063347	14057034	793934	88.2497499379	0.018551	0.98458	2264	2618102	11656346	4024516	15.07	19.46	135382	0.24	0.92	64.31	594.473646	159882847	273596512	26093000	134741255	160032	26.89	46.02	4.39	22.67	0.03	1677300	1417070	84.49	|NZ_CBRG010000178.1|	14339	628179	0.0542676281739784	150	Lontra canadensis	56	Ursus arctos	122958	433948	3917949	1.7454677842	11.9601606617	9654076	675704	4204009	1.48838269699	11.7999515266	36712922	1453141	494984.666666667	402803	564382	converted	5.57200143574999	50.7350736963022	71.0867653986352	0.283347313503	1033	3792	AC/485/15	American black bear	Amerik. Schwarzbaer	Ursus	m	adult	23.06.2015	Liver	B	5	28,5	100	07.09.2016	NA	12	prepped	AK28	12.4	12	10	TruSeq LT Index 27	268	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABB	2
ABB_2_LU	ABB_2_LU	ABB	8457985	6916385	81.77	6662381	69.6161884308	72.4345615479	21706007	2940441	98.6505903459	0.028902	0.983705	173	157411	9320321	7432063	64.69	15.05	76371	0.41	0.41	19.44	475.336371	108636244	188300096	29589743	148784679	25609	22.85	39.61	6.23	31.3	0.01	1677300	783715	46.72	|NZ_CBRG010000178.1|	34923	860754	0.0923657277366097	14	Ailuropoda melanoleuca	13	Canis lupus familiaris	257423	1411388	6143642	1.28696650974	1.49248759782	18313117	2948199	6283809	1.10387272233	1.30356939708	42579628	6727656	1556784.66666667	517769	2537341	converted	0.855599205235718	17.6085491938114	86.2911719704629	0.182389959387497	1034	3792	AC/485/15	American black bear	Amerik. Schwarzbaer	Ursus	m	adult	23.06.2015	Lung	B	6	113,6	100	07.09.2016	NA	12	prepped	AK28	8.4	9	6	TruSeq LT Index 1	262	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABB	2
ABU_1_H	ABU_1_H	ABU	36050176	11408137	31.65	9559712	77.4107273647	67.8225689787	28542089	1606631	98.5761791051	0.007853	0.984076	60997	87669	37245863	8705478	20.4	2.97	211471	0.07	0.49	76.06	1899.539013	558709550	881541401	51865341	407209094	213627	29.41	46.41	2.73	21.44	0.01	1820594	1229029	67.51	|NZ_CP009278.1|	48973	1182335	0.0317552645355736	24	Cyprinus carpio	10	Xenopus (Silurana) tropicalis	237807	620217	7951700	1.7093285087	1.57951653403	20579525	1174344	8772369	1.47824290251	1.37627054484	55243426	3290821	1120817	1049287	1192060	converted	5.45179328294829	65.3097693247547	74.1962529043695	0.383425478501879	1588	4610	AC/544/16	Asian bullfrog	Ochsenfrosch	Hoplobatrachus tigerinus	m	adult	06.06.2016	Heart	B	1	70,1	100	16.11.2016	NA	17	prepped	AK34	9.75	13	8	TruSeq LT Index 14	292	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABU	1
ABU_1_L	ABU_1_L	ABU	18041398	12082306	66.97	11550521	79.999441317	64.5750285299	35321677	2536170	99.1190879477	0.007548	0.983735	78434	23794	18766314	12179060	57.51	7.39	107029	0.25	0.32	34.53	957.082014	264703717	417698014	39601759	234875773	202751	27.66	43.64	4.14	24.54	0.02	1820594	957302	52.58	|NC_008570.1|	66867	721628	0.038459537829798	7	Xenopus (Silurana) tropicalis	6	Cyprinus carpio	285592	909959	10141532	1.2779823912	1.06684562275	27108327	1997343	10827555	1.11867307325	0.822438267744	74769016	5680750	1794159	1155529	1995943	converted	1.06066017177982	45.5619694263397	78.6991014009313	0.313851503199595	1589	4610	AC/544/16	Asian bullfrog	Ochsenfrosch	Hoplobatrachus tigerinus	m	adult	06.06.2016	Liver	B	2	104,3	100	16.11.2016	NA	17	prepped	AK34	9.94	9	5	TruSeq LT Index 15	292	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABU	1
ABU_2_H	ABU_2_H	ABU	25050611	20383343	81.37	19942928	78.8317142515	64.4248922639	63615411	2829239	99.1905119171	0.008179	0.982525	123367	33075	26487348	20707996	69.23	8.95	178592	0.4	0.27	21.15	1350.854748	369906393	563944118	67890294	348989907	124036	27.38	41.75	5.03	25.83	0.01	1820594	871618	47.88	|NZ_CBRG010000178.1|	54950	1431023	0.0540373523134941	13	Xenopus (Silurana) tropicalis	8	Cyprinus carpio	287659	1013652	17721027	1.2268447231	1.0057046744	48052874	2236067	18761109	1.05365683604	0.745638192403	129814300	6369767	1964206.57142857	1192060	2226662	converted	1.78190908859011	42.133591400373	78.7017993177671	0.283784770315651	1590	4623	AC/558/16	Asian bullfrog	Ochsenfrosch	Hoplobatrachus tigerinus	f	adult	08.06.2016	Heart	B	3	104,5	100	16.11.2016	NA	17	prepped	AK34	9.1	10	4	TruSeq LT Index 16	292	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABU	2
ABU_2_L	ABU_2_L	ABU	17910767	12501749	69.8	12070904	82.1564872031	69.7136700202	41847312	2492387	99.221016583	0.00702	0.984382	31195	27469	19599280	12445235	58.63	4.87	177358	0.39	0.52	35.6	999.56328	265544696	425472603	55529966	252907669	108346	26.57	42.57	5.56	25.3	0.01	1820594	982088	53.94	|NZ_CBRG010000178.1|	68056	1687101	0.0860859368900804	29	Common midwife toad ranavirus	28	Frog virus 3	292229	916491	10935363	1.11314748656	0.981025421231	30368632	2059881	11605158	0.947494425323	0.711894740339	81790041	5894124	1824221	1049287	2072293	converted	3.81837661840736	42.0996819514786	83.1449128887288	0.318856377203922	1591	4623	AC/558/16	Asian bullfrog	Ochsenfrosch	Hoplobatrachus tigerinus	f	adult	08.06.2016	Liver	B	4	93,3	100	16.11.2016	NA	17	prepped	AK34	8.51	8	2	TruSeq LT Index 18	288	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ABU	2
ABU_3_H	ABU_3_H	ABU	24186545	21637677	89.46	21232529	80.3364870153	66.2587519767	64413877	2923644	99.2920414288	0.008626	0.983236	77093	31854	25702757	22322628	78.09	8.76	198701	0.43	0.35	12.38	1310.840607	356196937	545354291	67338499	341811862	139018	27.17	41.6	5.14	26.08	0.01	1820594	848050	46.58	|NZ_CBRG010000178.1|	60902	1515016	0.0589464585438993	26	Cyprinus carpio	17	Xenopus (Silurana) tropicalis	252152	1061922	19172033	1.03360556777	0.857710701126	51051246	2504303	20451562	0.892935518158	0.662116358649	143075003	7165594	2035093	1149597	2353977	converted	1.30107647738324	39.3206902071524	80.5151721618638	0.237448701505384	1592	4660	Z/610/16	Asian bullfrog	Indischer Ochsenfrosch 4	Hoplobatrachus tigerinus	f	NA	16.06.2016	Heart	B	5	93,0	100	16.11.2016	NA	17	prepped	AK34	8.76	8	2	TruSeq LT Index 19	288	7	NA	NA	NA	NA	ABU_3_H_uc	NA	AK_uc_14	5	329	3	ABU	3
